Parameter,Initial,Final,Units
Epoch,2025-12-11T14:13:02.241120,2025-12-12T14:13:02.241120,UTC
Semi-major axis,6968.831,6968.831,km
Eccentricity,0.000176,0.000176,-
Inclination,97.762,97.762,degrees
RAAN,97.197,97.197,degrees
Arg of Perigee,96.925,96.925,degrees
Mean Anomaly,263.217,235.580,degrees

State Vectors,X,Y,Z,Magnitude
Position [km],38.221,5267.680,-4563.369,6969.523
Velocity [km/s],1.386551,4.860957,5.624484,7.562159

Propagation Time,86400.0,seconds
Propagation Time,24.00,hours
Number of Orbits,14.92,-
